;fecha;hora;dep;jur;tipo.sin;vehi;rol;edad;sexo;f.dias;otro.vehi;dir;x;y
2017;30/03/2017;05:50:00;TACUAREMBO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;35;M;1;MOTO;RUTA 5 KM 393;
2017;30/03/2017;06:00:00;SAN JOSE;NACIONAL;DESPISTE;AUTO;CONDUCTOR;30;M;1;;RUTA 1 KM 43;
2017;31/03/2017;04:15:00;TACUAREMBO;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;20;M;0;;INTENDENTE OLIVER ESQ. ESCRIBANO JULIO MAIA;593627
2017;31/03/2017;09:00:00;SALTO;DEPARTAMENTAL;ATROPELLO DE ANIMALES;MOTO;CONDUCTOR;77;M;21;;AVENIDA GOBERNADOR DE VIANA ESQ. GENERAL JOSE G. ARTIGAS;410049
2017;04/02/2017;13:24:00;SAN JOSE;NACIONAL;DESPISTE;AUTO;CONDUCTOR;74;F;0;;RUTA 3 KM 140;
2017;04/03/2017;07:30:00;CERRO LARGO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;18;M;1;AUTO;DIECIOCHO DE JULIO ESQ. GENERAL MANUEL ORIBE;766384
2017;04/03/2017;14:28:00;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;12;M;0;CAMIONETA;ANTONIO ZUBILLAGA ESQ. AMEGHINO;569882
2017;04/03/2017;16:20:00;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;13;M;0;OMNIBUS;AVENIDA GONZALO RAMIREZ ESQ. DOCTOR EMILIO FRUGONI;575380
2017;04/04/2017;19:00:00;PAYSANDU;NACIONAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;76;M;0;CAMIONETA;RUTA 3 KM 383;
2017;04/05/2017;08:25:00;RIVERA;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;78;F;0;MOTO;AVENIDA ITALIA ESQ. DAMASO ANTONIO LARRA—AGA;636994
2017;04/05/2017;12:15:00;MALDONADO;NACIONAL;DESPISTE;AUTO;CONDUCTOR;33;M;0;;RUTA 39 KM 6;
2017;04/05/2017;19:50:00;ROCHA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;50;M;0;AUTO;RUTA 9 KM 269;
2017;04/05/2017;21:50:00;ARTIGAS;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;36;M;0;AUTO;RUTA 3 KM 617;
2017;04/05/2017;23:20:00;SAN JOSE;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;37;M;14;CAMION;RUTA 1 KM 50;
2017;04/06/2017;06:27:00;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;20;F;1;AUTO;RUTA 66 KM 25;
2017;04/06/2017;06:15:00;COLONIA;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;13;M;1;MOTO;RUTA 50 KM 21;
2017;04/06/2017;06:15:00;COLONIA;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;21;M;4;MOTO;RUTA 50 KM 21;
2017;04/06/2017;13:20:00;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;61;F;9;AUTO;AVENIDA BRASIL ESQ. CHILE;571367
2017;04/08/2017;06:00:00;CANELONES;NACIONAL;DESPISTE;AUTO;CONDUCTOR;32;M;0;;RUTA 48 KM. 17;
2017;04/08/2017;09:10:00;TACUAREMBO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;28;M;0;CAMIONETA;RUTA 5 KM. 252;
2017;04/09/2017;01:30:00;FLORIDA;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;47;M;0;AUTO;RUTA 5 RAMAL 10 KM 93;
2017;04/09/2017;05:56:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;20;M;1;AUTO;SANTA LUCIA ESQ. CORONEL BOLOGNESI;571160
2017;04/11/2017;18:52:00;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;71;F;1;OMNIBUS;ALMERIA ESQ. HIPOLITO YRIGOYEN;581513
2017;04/12/2017;12:00:00;DURAZNO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;20;M;0;CAMION;RUTA 5 KM. 192;
2017;04/12/2017;20:27:00;CANELONES;NACIONAL;DESPISTE;AUTO;CONDUCTOR;NA;F;1;;RUTA 35 KM. 57;
2017;13/04/2017;21:20:00;FLORIDA;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;50;M;1;;DOCTOR LUIS ALBERTO DE HERRERA ESQ. RINCON;624692
2017;13/04/2017;19:30:00;TREINTA Y TRES;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;70;M;0;CAMION;RUTA 8 KM. 281;
2017;14/04/2017;13:10:00;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;24;F;0;OMNIBUS;RUTA 8 KM. 69;
